Bahubali2,bhavika,5
Dunkrik,bhavika,2
Judwaa2,bhavika,4
Padmavaat,bhavika,null
Jumanji2,bhavika,5
Mubarakan,bhavika,2
Bahubali2,raj,5
Dunkrik,raj,3
Judwaa2,raj,5
Padmavaat,raj,3
Jumanji2,raj,3
Mubarakan,raj,2
Bahubali2,aseem,5
Dunkrik,aseem,3
Judwaa2,aseem,5
Padmavaat,aseem,4
Jumanji2,aseem,3
Mubarakan,aseem,3
Bahubali2,dakshita,4
Dunkrik,dakshita,2
Judwaa2,dakshita,5
Padmavaat,dakshita,5
Jumanji2,dakshita,2
Mubarakan,dakshita,4
Bahubali2,neil,5
Dunkrik,neil,2
Judwaa2,neil,4
Padmavaat,neil,null
Jumanji2,neil,3
Mubarakan,neil,2
